check,dataset_version_id,detail,encoded_target,full_row_dupes,git_hash,has_full_dupes,imbalance_ratio,level,n_candidate_ids,n_cols,n_flags,n_id_configured,n_id_in_df,n_ids,n_invalid_raw,n_missing,n_neg,n_non_unique,n_null_raw,n_pos,n_preview_cols,n_preview_rows,n_protected,n_required,n_rows,overall_null_pct,pct_invalid_raw,raw_target_col,section,section_name,status,timestamp,top_missing_col,top_missing_pct,total_mem_mb
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,info,,21.0,,,,,,,,,,,,,,,7043.0,,,,2.0.1,Environment & config readiness preflight,OK,2025-11-28 19:26:23.482500,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,,,,,info,,,,,,,,0.0,,,,,,,,4.0,,,,,2.0.2,Config & constants validation,OK,2025-11-28 19:26:23.673049,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,,,46dbdb9fed4e68ae64ccddce5815a1d04529aa11,,,info,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-28 19:26:23.873756,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,info,,21.0,,,,,,,,,,,,,,,7043.0,,,,2.0.4,Dataset snapshot & preview,OK,2025-11-28 19:26:23.976547,,,6.5061
"Overall missingness, dtype distribution, top-N missing columns",,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,info,,21.0,,,,,,,,,,,,,,,7043.0,0.0074,,,2.0.5,Row/Column baseline summary (lightweight),OK,2025-11-28 19:26:24.034694,TotalCharges,0.1562,
Config-driven IDs and protected columns snapshot,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,info,0.0,,,1.0,1.0,,,,,,,,,,3.0,,,,,,2.0.6,ID & protected columns snapshot,OK,2025-11-28 19:26:24.101036,,,
Dependency registry build,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,info,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-28 19:26:24.250754,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,info,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-28 19:26:24.355524,,,
Create Churn_flag and validate raw target labels,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",Churn_flag,,,,0.3612,info,,,,,,,0.0,,5174.0,,0.0,1869.0,,,,,7043.0,,0.0,Churn,2.1.1,Target variable creation & validation,OK,2025-11-28 19:26:24.427863,,,
ID & key field verification,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,info,,,,,,1.0,,,,0.0,,,,,,,,,,,2.1.2,ID & key field verification,OK,2025-11-28 19:26:24.480571,,,
Special-case numeric flags,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,info,,,1.0,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,OK,2025-11-28 19:26:24.527239,,,
Duplicate audit,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,0.0,,,,info,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,OK,2025-11-28 19:26:24.588772,,,
Duplicate audit preview,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,0.0,,info,,,,,,,,,,,,,23.0,0.0,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,OK,2025-11-28 19:26:24.657107,,,
